timestamp,cpu,ram,disk,machine_id
2026-04-27 23:35:44,2.2,74.7,22.6,local_pc
2026-04-27 23:35:45,2.4,74.7,22.6,local_pc
2026-04-27 23:35:46,2.0,74.7,22.6,local_pc
2026-04-27 23:35:47,1.9,74.7,22.6,local_pc
2026-04-27 23:35:48,3.9,74.9,22.6,local_pc
2026-04-27 23:35:49,5.4,74.9,22.6,local_pc
2026-04-27 23:35:50,3.0,74.9,22.6,local_pc
2026-04-27 23:35:51,2.6,74.9,22.6,local_pc
2026-04-27 23:35:52,9.4,75.4,22.6,local_pc
2026-04-27 23:35:53,9.4,75.7,22.6,local_pc
2026-04-27 23:35:54,14.0,76.0,22.6,local_pc
2026-04-27 23:35:55,3.4,76.3,22.6,local_pc
2026-04-27 23:35:56,2.2,76.2,22.6,local_pc
2026-04-27 23:35:57,6.6,76.3,22.6,local_pc
2026-04-27 23:35:58,2.4,76.3,22.6,local_pc
2026-04-27 23:35:59,4.6,76.3,22.6,local_pc
2026-04-27 23:36:00,8.6,76.4,22.6,local_pc
2026-04-27 23:36:01,11.7,76.7,22.6,local_pc
2026-04-27 23:36:02,12.4,77.0,22.6,local_pc
2026-04-27 23:36:03,13.3,76.9,22.6,local_pc
2026-04-27 23:36:04,8.4,77.1,22.6,local_pc
2026-04-27 23:36:05,15.4,77.4,22.6,local_pc
2026-04-27 23:36:06,13.6,77.5,22.6,local_pc
2026-04-27 23:36:07,13.3,77.6,22.6,local_pc
2026-04-27 23:36:08,6.8,77.6,22.6,local_pc
2026-04-27 23:36:09,10.5,78.0,22.6,local_pc
2026-04-27 23:36:10,5.1,78.0,22.6,local_pc
2026-04-27 23:36:11,3.5,78.0,22.6,local_pc
2026-04-27 23:36:12,4.5,78.0,22.6,local_pc
2026-04-27 23:36:13,4.0,77.9,22.6,local_pc
2026-04-27 23:36:14,4.3,77.9,22.6,local_pc
2026-04-27 23:36:15,8.2,78.0,22.6,local_pc
2026-04-27 23:36:16,3.7,77.9,22.6,local_pc
2026-04-27 23:36:17,5.5,77.9,22.6,local_pc
2026-04-27 23:36:18,6.0,77.8,22.6,local_pc
2026-04-27 23:36:19,6.9,77.4,22.6,local_pc
2026-04-27 23:36:20,12.7,79.4,22.6,local_pc
2026-04-27 23:36:21,16.9,82.7,22.6,local_pc
2026-04-27 23:36:22,4.0,82.9,22.6,local_pc
2026-04-27 23:36:23,6.4,83.0,22.6,local_pc
2026-04-27 23:36:24,8.3,82.9,22.6,local_pc
2026-04-27 23:36:25,8.2,82.9,22.6,local_pc
2026-04-27 23:36:26,8.5,82.8,22.6,local_pc
2026-04-27 23:36:28,7.9,82.9,22.6,local_pc
2026-04-27 23:36:29,9.5,82.9,22.6,local_pc
2026-04-27 23:36:30,4.6,82.9,22.6,local_pc
2026-04-27 23:36:31,4.2,82.9,22.6,local_pc
2026-04-27 23:36:32,5.6,82.7,22.6,local_pc
2026-04-27 23:36:33,4.8,82.7,22.6,local_pc
2026-04-27 23:36:34,14.3,82.9,22.6,local_pc
2026-04-27 23:36:35,12.3,84.1,22.6,local_pc
2026-04-27 23:36:36,12.8,84.4,22.6,local_pc
2026-04-27 23:36:37,7.6,83.6,22.6,local_pc
2026-04-27 23:36:38,12.6,83.5,22.6,local_pc
2026-04-27 23:36:39,3.3,83.5,22.6,local_pc
